latitude,longitude,frp,acq_time,confidence,satellite
-33.09688,-71.50419,35.49,556,h,N
-33.19743,-71.50372,0.64,556,n,N
-33.09346,-71.50346,35.49,556,n,N
-33.05116,-71.50327,2.52,556,n,N
-33.194,-71.50301,0.64,556,n,N
-33.09004,-71.50268,1.04,556,n,N
-33.04773,-71.50255,1.16,556,n,N
-33.11125,-71.50243,23.2,556,n,N
-33.19057,-71.5023,0.73,556,n,N
-33.08662,-71.50192,1.04,556,n,N
-33.0196,-71.50191,3.01,556,n,N
-33.0443,-71.50186,1.16,556,n,N
-33.16593,-71.50179,1.95,556,n,N
-33.10781,-71.50178,23.2,556,n,N
-33.10365,-71.50157,19.13,1819,n,N
-33.18714,-71.50156,0.73,556,n,N
-33.01617,-71.50125,3.01,556,n,N
-33.04086,-71.50124,1.37,556,n,N
-33.16249,-71.50113,3.86,556,n,N
-33.10438,-71.50112,48.48,556,n,N
-33.18371,-71.50084,1.29,556,n,N
-33.13783,-71.50082,1.33,556,n,N
-33.03742,-71.5006,1.37,556,n,N
-33.10094,-71.50047,48.48,556,n,N
-33.18028,-71.50012,1.29,556,n,N
-33.1344,-71.50011,2.04,556,n,N
-33.03397,-71.50001,1.3,556,n,N
-33.10973,-71.49984,7.19,556,n,N
-33.0975,-71.49981,35.49,556,n,N
-33.03054,-71.4994,1.3,556,n,N
-33.02709,-71.49877,2.44,556,n,N
-33.18163,-71.49866,13.25,1819,n,N
-33.02365,-71.49816,2.44,556,n,N
-33.11187,-71.49806,1.08,556,n,N
-33.18528,-71.49797,56.59,1819,n,N
-33.19119,-71.49785,0.73,556,n,N
-33.02021,-71.49754,7.38,556,n,N
-33.10843,-71.49741,1.08,556,n,N
-33.16654,-71.4974,52.46,556,n,N
-33.01678,-71.4969,7.38,556,n,N
-33.105,-71.49677,1.01,556,n,N
-33.16311,-71.49674,1.96,556,n,N
-33.18433,-71.49643,1.29,556,n,N
-33.01334,-71.49628,5.1,556,n,N
-33.03804,-71.49619,1.37,556,n,N
-33.15966,-71.49609,1.96,556,n,N
-33.1809,-71.49571,1.29,556,n,N
-33.0346,-71.49557,1.3,556,n,N
-33.11034,-71.49547,1.15,556,n,N
-33.05582,-71.4952,0.89,556,n,N
-33.03115,-71.49497,1.3,556,n,N
-33.05238,-71.49448,0.89,556,n,N
-33.02771,-71.49434,2.44,556,n,N
-33.02427,-71.49376,2.44,556,n,N
-33.02082,-71.49318,7.38,556,n,N
-33.10905,-71.49303,1.08,556,n,N
-33.18466,-71.493,18.23,1819,h,N
-33.01738,-71.49257,7.38,556,n,N
-33.10562,-71.49237,1.01,556,n,N
-33.16372,-71.49234,1.96,556,n,N
-32.98706,-71.49213,0.69,556,n,N
-33.13905,-71.49201,1.33,556,n,N
-33.01395,-71.49191,5.1,556,n,N
-33.16028,-71.49168,1.96,556,n,N
-33.10218,-71.49168,1.01,556,n,N
-33.05986,-71.49154,1.55,556,n,N
-32.98363,-71.49149,0.89,556,n,N
-33.13562,-71.49131,8.21,556,n,N
-33.16578,-71.49116,56.32,1819,n,N
-33.03176,-71.49056,1.63,556,n,N
-33.12876,-71.48991,0.9,556,n,N
-33.02487,-71.48941,7.89,556,n,N
-33.12532,-71.48926,0.9,556,n,N
-33.02142,-71.48886,10.24,556,n,N
-33.12188,-71.48861,0.91,556,n,N
-33.10624,-71.48795,0.67,556,n,N
-33.16434,-71.48793,1.5,556,n,N
-33.1609,-71.48728,1.5,556,n,N
-33.11156,-71.48671,0.66,556,n,N
-33.12936,-71.48553,0.9,556,n,N
-33.11373,-71.48494,1.0,556,n,N
-33.02203,-71.48449,10.24,556,n,N
-33.12249,-71.48425,0.91,556,n,N
-33.1103,-71.48424,1.0,556,n,N
-33.0433,-71.48373,0.9,556,n,N
-33.17978,-71.48368,10.32,1819,n,N
-33.11905,-71.48361,0.91,556,n,N
-33.03987,-71.48305,0.9,556,n,N
-33.11561,-71.48296,0.66,556,n,N
-33.16152,-71.48286,1.5,556,n,N
-33.13685,-71.48251,0.84,556,n,N
-33.03643,-71.48241,1.87,556,n,N
-33.11217,-71.48227,0.66,556,n,N
-33.13341,-71.48181,0.84,556,n,N
-33.15462,-71.48161,3.98,556,n,N
-33.12998,-71.48112,1.15,556,n,N
-33.15119,-71.48096,3.54,556,n,N
-33.0261,-71.48064,1.01,556,n,N
-33.11435,-71.48051,0.69,556,n,N
-33.02264,-71.48009,6.21,556,n,N
-33.14432,-71.47958,1.02,556,n,N
-33.0192,-71.47948,6.21,556,n,N
-33.04392,-71.47932,0.9,556,n,N
-33.01577,-71.47879,9.85,556,n,N
-33.17916,-71.47868,10.32,1819,h,N
-33.04049,-71.47863,0.9,556,n,N
